State,Petco,Petsmart,Chewy,Pet Supplies Plus
31-Mar,0,5,0,3
1-Apr,0,37,0,6
2-Apr,0,13,0,0
3-Apr,0,18,0,6
4-Apr,0,11,0,15
5-Apr,0,36,0,5
6-Apr,18,144,0,5
7-Apr,87,55,0,24
8-Apr,99,64,255,7
9-Apr,83,28,70,0
10-Apr,54,36,60,12
11-Apr,124,15,86,15
12-Apr,91,96,71,16
13-Apr,44,15,53,9
14-Apr,134,30,51,6
15-Apr,46,18,120,12
16-Apr,20,5,34,0
